alumno,curso,contenido,nota_numerica,evaluacion
10927613,3306170619,1375p,9,01
10909929,3306170619,1709,8,01
10920136,3306170619,1369,8,01
10911185,3306170619,1369,8,01
10914452,3306170619,0179,9,01
10914452,3306170619,1367,7,01
10490475,3306170619,1367,4,01
10659496,3306170619,0179,9,01
13228273,3306172484,0174,0,01
10788322,3306172484,0181p,0,01
10798065,3306172484,0179,4,01
12561340,3306172484,0173,9,01
12561340,3306172484,0174,8,01
10379062,3306172484,0181p,0,01
10801931,3306172484,1709,0,01
10843015,3306172484,1709,5,01
10787451,3306172484,0177,5,01
10780778,3306172332,0179,8,01
10311896,3306172403,0383,10,01
13455012,3306172403,0172,8,01
10025712,3306172403,0383,9,01
10025712,3306172403,0173,4,01
13609532,3306172403,0388p,0,01
13609532,3306172403,0179,0,01
10911448,3306172403,0171,8,01
13594957,3306172403,0173,0,01
10652392,3306172403,0171,9,01
13604001,3306172403,0388p,7,01
10912710,3306172053,1231,6,01
10698000,3306172053,0156,5,01
11036037,3306172053,1231,6,01
11013480,3306172053,1232,6,01
10803879,3306172053,1231,4,01
13611445,3306172167,0623,9,01
13611445,3306172167,1010,8,01
10015387,3306172167,1010,5,01
10798287,3306172167,1012p,4,01
13598677,3306172167,0930,0,01
13598681,3306172167,1012p,6,01
10197921,3306172167,1010,6,01
10425558,3306172167,0931,8,01
10463434,3306172167,0623,0,01
10792537,3306172167,0179,4,01
10516442,3306172167,1010,2,01
10476265,3306172167,1010,3,01
10904904,3306172167,1010,8,01
10894622,3306172167,0930,7,01
10895114,3306172167,1012p,8,01
13595716,3306172167,1709,0,01
10436333,3306172167,1012p,0,01
10790209,3306172167,0623,7,01
13502717,3306172167,1709,0,01
11313275,3306172167,0930,4,01
11340144,3306172167,1012p,0,01
10526778,3306172167,0930,7,01
10772198,3306172135,0828p,4,01
10772198,3306172135,0179,7,01
10772198,3306172135,0622,8,01
10321931,3306169433,243264,6,01
10687998,3306169433,243267,9,01
10835151,3306169433,243267,8,01
10835151,3306169433,243264,5,01
10024790,3306169433,243265,8,01
13043456,3306169433,243266,6,01
10780813,3306169433,243266,4,01
10892469,3306169433,243267,8,01
10892469,3306169433,243264,9,01
10799399,3306169433,243266,8,01
10827161,3306169433,243266,6,01
13593116,3306169433,243266,8,01
10287428,3306169440,243602,9,01
10287428,3306169440,243271,8,01
10287348,3306169440,243602,9,01
10287348,3306169440,243604,8,01
10814418,3306169440,243604,5,01
13594870,3306173997,0441,8,01
13594861,3306173997,0439,7,01
13514838,3306173997,0439,7,01
12461270,3306173997,0437,10,01
13536269,3306173997,1709,3,01
13594777,3306173997,0439,8,01
10806257,3306173997,0156,8,01
10907141,3306173997,0156,6,01
10832115,3306173997,0439,8,01
10832115,3306173997,0156,4,01
10847700,3306173997,0437,9,02
13134429,3306173997,0441,7,01
10421015,3306173997,0441,0,01
11109924,3306173997,0438,7,01
10938365,3306173997,0439,5,01
10404730,3306173997,0439,6,01
10416752,3306174048,0657p,4,01
13537130,3306174048,1709,10,01
10895723,3306174048,0649,7,01
12745122,3306174048,0179,0,01
10910705,3306174048,0649,8,01
10730016,3306174048,0648,4,01
10925424,3306174048,0657p,9,01
11664368,3306174048,0648,5,01
10808862,3306174048,0650,6,01
10662076,3306174048,0179,0,01
13456235,3306174048,0649,7,01
10025322,3306174048,0657p,7,01
10762396,3306174048,0657p,7,01
10991644,3306174048,0649,4,01
12478421,3306174048,0647,8,01
10779855,3306174048,0648,3,01
10805078,3306169744,0373,5,01
10898640,3306169744,0371,7,01
10896459,3306169744,0371,8,01
10914721,3306169744,0371,8,01
10911373,3306169744,0379p,9,01
10734142,3306169744,0179,9,01
10910799,3306169744,0373,8,01
10910799,3306169744,0371,9,01
11088604,3306169744,0379p,9,01
10418675,3306169651,0373,9,01
10904569,3306169651,0485,9,01
10427570,3306169651,0616p,0,01
10931085,3306169651,0179,7,01
10454462,3306169651,0484,7,01
10308504,3306169651,0485,7,01
10308750,3306169651,0485,3,01
13232436,3306169651,0485,5,01
13592958,3306169651,0179,0,01
13352871,3306169651,0485,0,01
10909591,3306169651,0484,10,01
10299132,3306169651,0485,0,01
11318786,3306169651,1709,0,01
11061166,3306169651,0487,0,01
12395762,3306169651,0373,4,01
11014915,3306169651,0373,2,01
10595030,3306169651,0485,0,01
11147116,3306169651,0373,0,01
13513975,3306169593,0156,9,01
10459629,3306169593,0225,0,01
11246288,3306169593,0225,8,01
12615991,3306169593,0223,0,01
10999069,3306169593,0221,6,01
10828132,3306169593,0225,6,01
12452190,3306169593,0223,4,01
13545139,3306169593,0223,8,01
10891681,3306169593,0225,2,01
11146537,3306169591,1710,10,01
10893131,3306169591,1708190,6,01
10893131,3306169591,0228,6,01
10885064,3306169591,1708190,3,01
11011197,3306169591,0224,9,01
11011197,3306169591,1710,10,01
13452408,3306169591,1708190,9,01
11708808,3306169591,0227,9,01
10796295,3306169751,0377,9,01
10762343,3306169751,1708190,9,01
10910600,3306169751,1708190,9,01
10757735,3306169751,0374,4,01
11082671,3306169751,0374,9,01
10849397,3306169751,1710,9,01
12854002,3306169751,0374,3,01
10737949,3306169751,CVOPT,6,01
10652371,3306169751,1708190,8,01
10813139,3306169751,0377,6,01
10813139,3306169751,0374,4,01
13456011,3306169751,0378,8,01
10823807,3306169751,1708190,10,01
13345475,3306169751,CVOPT,9,01
13345475,3306169751,0377,7,01
10282899,3306169658,0612,2,01
10797348,3306169658,CVOPT,8,01
10770657,3306169658,CVOPT,3,01
10711977,3306169658,1665190,10,01
10711977,3306169658,0613,6,01
10856605,3306169658,0613,5,01
10718934,3306169658,0614,5,01
10810051,3306169658,0613,5,01
10757001,3306169658,0616s,5,01
10736277,3306169658,0614,10,01
10635824,3306169658,1665190,8,01
10635824,3306169658,0615,4,01
10882393,3306169658,0616s,6,01
10882393,3306169658,0614,1,01
10711924,3306169658,1710,1,01
10781492,3306170617,1374,4,01
10742238,3306170617,1372,4,01
10944114,3306170617,1665061,9,01
10944114,3306170617,1708061,9,01
10944114,3306170617,1375s,7,01
10827153,3306170617,1708061,9,01
10819488,3306170617,CVOPT,9,01
10786004,3306170617,CVOPT,9,01
10776515,3306170617,1372,8,01
10725869,3306170617,1374,6,01
10687463,3306170617,1708061,8,01
13462544,3306170617,1372,7,01
10851445,3306170617,CVOPT,8,01
10842025,3306170617,1372,7,01
10546650,3306170617,1373,7,01
10993558,3306170617,1373,4,01
10737175,3306173995,0448,4,01
11671982,3306173995,1708001,8,01
11029440,3306173995,0448,9,01
11028742,3306173995,1664001,10,01
11033515,3306173995,0448,7,01
11004486,3306173995,CVOPT,9,01
11039273,3306173995,0443,8,01
11026339,3306173995,0442,6,01
11666166,3306173995,0443,1,01
11024457,3306173995,1708001,4,01
10679723,3306174046,1708001,5,01
10780784,3306174046,0657s,6,01
10711948,3306174046,0652,3,01
10776755,3306172060,1235,8,01
10931235,3306172060,1227,7,01
10931235,3306172060,1235,4,01
10924853,3306172060,1234,4,01
10648909,3306172060,1664020,6,01
11004108,3306172060,1234,8,01
10766452,3306172133,0824,8,01
12607926,3306172133,CVOPT,6,01
12607926,3306172133,0827,7,01
12912678,3306172133,0828s,8,01
10857816,3306172133,0824,8,01
10766414,3306172133,CVOPT,8,01
10847609,3306172133,0828s,7,01
10819684,3306172165,1110,7,01
10796065,3306172165,1009,8,01
10796065,3306172165,1110,7,01
11782717,3306172482,1708039,7,01
11330085,3306172410,0385,6,01
10630337,3306172165,1012s,7,01
10530803,3306172165,1012s,9,01
10800028,3306172165,1012s,10,01
11089472,3306172165,1012s,8,01
10630337,3306172165,1109,6,01
