id_alumno,documento_hash,fecha_nac,sexo,estado_matricula,curso,grupo,turno
12634107,a6c94c355e3785c1bdb6a1ca7df9b45e51160b83eb09bf86ce35f3dae2d21fa5,14/12/1974,M,M,3003826548,2CFSM,S
11512394,265aa965d8b54460f245384390e9b0f1649188062afbf8824e9162744ab7144d,01/04/2002,M,M,3003822456,2CFSB,D
12557047,905b5b8cc0da3771802258de444d4a1d87650529487a930e2d9145e645e10445,30/10/1972,H,M,3003828767,2CFMH,S
13160376,e9f0fd3d5926b10541ff37107d4cf5b255460140ad92dc1aa4b2920fab81d2b8,09/11/1973,H,B,3003828760,1CFMD,S
10711622,1797322610aaee518edfde22551eca99d8e966f0af0fd68028765ab25a0dfa52,04/12/2003,H,B,3003828893,1CFSC,D
10302214,b0b20044ee081a7731bb1e900b89a35fd71653a6963b38068654accc0567b684,31/07/2000,H,M,3003827233,1CFMG,S
11480547,02d57de77cad6157183a249605c598dab941f252814f5da15ee61d798c5bc54b,01/10/1981,M,M,3003827233,1CFMG,S
11573289,d28be557087d194454e5cafee0339215ea9df6135225527f3f20f1ba225ef320,15/05/1977,H,M,3003826548,2CFSM,S
10506770,21fccea79490ef4c894ca734ad6dc5ef39718e26802b2a2e276fa35485980074,21/06/2002,H,M,3003822449,1CFSB,D
13282254,11eda7efa680d8130edd12905587210e1b22bdb95d88dcbb25272b2d4927aeaf,04/06/2002,M,M,3003822449,1CFSB,D
12250190,7565dd6847bb85e19896d37365c3adac5dfbc95ad5abd51d70453841505e9d02,08/04/1970,M,M,3003828767,2CFMH,S
10784833,0319160760841b73656c05f73502acc31b2bb6535ce46765a066fa7c3bc7ed14,05/04/2006,M,M,3003829510,1CFMF,D
10708207,31843cc78b2fb507428a655d6f2113709f2ac1a68e21f20923f32b005575ecb3,18/07/2004,H,B,3003829629,1CFSF,D
11639589,e67c85b6aee6a5815e7ba3c0aca699570d1e3e1284ce8fae8340c025604981e6,27/10/1971,M,B,3003829629,1CFSK,D
10949781,8b6b608ef2c9b663b789e9a99e838c4c9a152030fc1015d286bf87bc969653ba,31/07/1988,H,M,3003828691,1CESCIB,D
10645465,56dabba863f17927623408d019e2d03526e27809f2e763c266cf310693d30cea,04/04/2003,M,M,3003827240,2CFMA,D
13034194,5ae58183cfc3a14996eeeae8ca3d781a88ab0407c02e0f5fa7dfc17aa4c960a8,06/12/1988,M,M,3003829510,1CFMI,S
11402624,393dd50f5048ae8c97601dedba1fe4018ef745a66c3ca7bd943749e247803d5d,08/09/1984,M,M,3003827233,1CFMG,S
12731167,a3d5a681bb258c51527091dd9e7a631a7033c103464ccbfc53c7eedfebeb628e,28/07/1993,H,M,3003828760,1CFMD,S
13038809,cf019ba1641ef42b02317a09be5b18997c3a4422d0ee396598a0449386821567,04/07/1986,M,M,3003827317,2CFSL,S
11316431,a55d6f67dfe13676f4f866dc1524318996c2a5e96a91be8f41909ddcf00d5b5a,20/11/2001,M,M,3003826541,1CFSN,S
10377321,818d1a206b45a7d26ce51542d840c2d97c72d25ca813075491beaf921367e17d,06/02/1999,H,M,3003826632,2CFSE,D
11512963,925eed915837513422bb36d18611c91a7029680270ebbe98287309fa69023d55,07/10/2003,H,M,3003828900,2CFSC,D
10759106,8c8a2b4f1460d721a7eacc430905ff7e8b1304e383bcb8093efa2da32a43b870,21/11/2004,M,M,3003826548,2CFSJ,D
13038288,38ed22dfcc98135d42c0c8fd7c8222ff3542049cf87370aa5ce06e8874813944,19/01/1995,M,M,3003822879,2CFSG,D
13242368,c8464c6e1addf752f4e923416ecd00ec7518033452e524f504221863a2cca920,03/12/1996,H,B,3003828795,1CFSL,S
12563774,6fd5e7aaf6ca06690dcd32afee16b9b24e8c75e7e60faddc8ee487ff3d91dcdb,05/01/1987,H,M,3003828823,2CFSN,S
10837048,7a241853899ffcd70bf5d7b5b79a15570c6368a3202193f2e502bb9d74abcde2,13/08/2005,M,B,3003828767,2CFMC,D
10784679,61370b4eb17f5e687ceb4383d820565d8733c882f4195b299fe9e7ae2f8cbb98,25/12/2004,M,M,3003829636,2CFSK,D
13245876,d85533553fe3daf7ec183f467b4b573ab32b8056fe86f7af3aa0b4e55aa7ef0c,28/05/1981,H,M,3003828795,1CFSL,S
13242130,a1c5211c0783cabf2273866abbe618b625705570d56cee3dfac1f111e41658a9,28/04/1980,H,M,3003829629,1CFSF,D
11488090,34ca21dda1bd2aa37f4d932a8eea5c4ddb71e9b0a03cda70a1a87568260c1afd,20/10/1980,M,M,3003822456,2CFSO,S
11885210,063958f01fa930baafa0d870d585c6bd5f5338f4eefdfeafe28154d99a2c679f,01/09/1996,M,M,3003827317,2CFSL,S
10394942,562d55499954ab2347df40efac5c4cb40ba84f14b8c9256307121d150817d799,20/12/1991,H,M,3003828823,2CFSN,S
