anyo,codigo,nombre_cas,curso
2025_26,CVOPT,Módulo optativo,3306174046
2025_26,0657s,Proyecto intermodular 2 de administración y finanzas,3306174046
2025_26,1665001,Digitalización aplicada al sistema productivo GS,3306174046
2025_26,1708001,Sostenibilidad aplicada al sistema productivo,3306174046
2025_26,TU02CF,Tutoría Segundo,3306174046
2025_26,0655,Gestión logística y comercial,3306174046
2025_26,0652,Gestión de recursos humanos,3306174046
2025_26,0653,Gestión financiera,3306174046
2025_26,0656,Simulación empresarial,3306174046
2025_26,0654,Contabilidad y fiscalidad,3306174046
2025_26,1710,Itinerario personal para la empleabilidad II,3306174046
2025_26,1709,Itinerario personal para la empleabilidad I,3306174048
2025_26,0657p,Proyecto intermodular 1 de Administración y Finanzas,3306174048
2025_26,TU01CF,Tutoría Primero,3306174048
2025_26,0179,Inglés profesional GS,3306174048
2025_26,0651,Comunicación y atención al cliente,3306174048
2025_26,0650,Proceso integral de la actividad comercial,3306174048
2025_26,0648,Recursos humanos y responsabilidad social corporativa,3306174048
2025_26,0649,Ofimática y proceso de la información,3306174048
2025_26,0647,Gestión de la documentación jurídica y empresarial,3306174048
2025_26,TU02CF,Tutoría Segundo,3306174099
2025_26,CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306174099
2025_26,0655,Gestión logística y comercial,3306174099
2025_26,0657,Proyecto de administración y Finanzas,3306174099
2025_26,0652,Gestión de recursos humanos,3306174099
2025_26,0653,Gestión financiera,3306174099
2025_26,0656,Simulación empresarial,3306174099
2025_26,0660,Formación en Centros de Trabajo,3306174099
2025_26,0654,Contabilidad y fiscalidad,3306174099
2025_26,TU01CF,Tutoría Primero,3306174106
2025_26,CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306174106
2025_26,0179,Inglés profesional GS,3306174106
2025_26,0651,Comunicación y atención al cliente,3306174106
2025_26,0658,Formación y orientación laboral,3306174106
2025_26,0650,Proceso integral de la actividad comercial,3306174106
2025_26,0648,Recursos humanos y responsabilidad social corporativa,3306174106
2025_26,0649,Ofimática y proceso de la información,3306174106
2025_26,0647,Gestión de la documentación jurídica y empresarial,3306174106
2025_26,TU01CF,Tutoría Primero,3306170521
2025_26,028502,Técnicas básicas de enfermería,3306170521
2025_26,028504,Promoción de la salud y apoyo psicológico al paciente,3306170521
2025_26,028505,Técnicas de ayuda odontológica/estomatológica,3306170521
2025_26,028001,Formación y orientación laboral,3306170521
2025_26,028503,Higiene del medio hospitalario y limpieza de material,3306170521
2025_26,028501,Operaciones administrativas y documentación sanitaria,3306170521
2025_26,028100,Relaciones en el equipo de trabajo,3306170521
2025_26,TU02CF,Tutoría Segundo,3306170528
2025_26,028601,Formación en Centros de Trabajo,3306170528
2025_26,5123,Estrategia de contenidos digitales,3306171967
2025_26,5114,Comunicación en redes sociales,3306171967
2025_26,5124,Redacción de contenidos digitales,3306171967
2025_26,1708039,Sostenibilidad aplicada al sistema productivo,3306172330
2025_26,CVOPT,Módulo optativo,3306172330
