anyo,nombre_modulo,codigo_modulo,codigo_curso,nombre_curso,ciclo,grado,familia
2025_26,Comercio electrónico,1235,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Itinerario personal para la empleabilidad II,1710,3306172060,Segundo,ACTIVIDADES COMERCIALES (LFP),GRADO MEDIO,COMERCIO Y MARKETING
2025_26,Tutoría Primero,TU01CF,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Inglés profesional GS,0179,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Estructura del mercado turístico,0171,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Protocolo y relaciones públicas,0172,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Marketing turístico,0173,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Dirección de alojamientos turístico,0174,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Formación y orientación laboral,0182,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Recursos humanos en el alojamiento,0177,3306172366,Primero,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Tutoría Segundo,TU02CF,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
2025_26,Segunda lengua extranjera,0180,3306172373,Segundo,GESTIÓN DE ALOJAMIENTOS TURÍSTICOS,GRADO SUPERIOR,HOSTELERÍA Y TURISMO
