anyo,alumno,curso,contenido,evaluacion,nota_numerica
2024_25,02b9abaada3bcefb1b3e71950226d86ef0588d76841c2aebe4ca66bda1e3e5c0,3162077600,CV0004,FI,9
2024_25,02bf03ff8922a7bc144a9a21a57c1ef196ad1af030c9ff9cdddde01972a39c80,3162075418,028601,FI,0
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243264,1,9
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243264,2,9
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243264,FI,9
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243265,1,9
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243265,2,10
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243265,FI,9
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243266,1,8
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243266,2,10
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243266,FI,9
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243267,1,10
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243267,2,9
2024_25,02e963aadb8e832f6acc69c8ec27dff192de10864589cc20b641afc7ccc39765,3162078584,243267,FI,10
2024_25,03018ce9085c8c15081049f5ef98cef5bf2c9336183097a2991a3edb426e5c8b,3162079936,0224,1,8
2024_25,03018ce9085c8c15081049f5ef98cef5bf2c9336183097a2991a3edb426e5c8b,3162079936,0224,FI,8
2024_25,03018ce9085c8c15081049f5ef98cef5bf2c9336183097a2991a3edb426e5c8b,3162079936,0226,1,9
2024_25,03018ce9085c8c15081049f5ef98cef5bf2c9336183097a2991a3edb426e5c8b,3162079936,0226,FI,9
2024_25,03018ce9085c8c15081049f5ef98cef5bf2c9336183097a2991a3edb426e5c8b,3162079936,0230,1,7
2024_25,03018ce9085c8c15081049f5ef98cef5bf2c9336183097a2991a3edb426e5c8b,3162079936,0230,FI,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0822,1,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0822,FI,9
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0823,1,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0823,FI,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0824,1,4
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0824,FI,7
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0825,1,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0825,FI,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0826,1,6
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0826,FI,6
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0827,1,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0827,FI,8
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,0830,FI,0
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,CV0004,1,7
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,CV0004,FI,7
2024_25,0348c5506bc2ae267005ed9de9a0edffa7625b96919d3261583a5128318700a9,3162077551,CV0010,FI,6
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,0156,1,4
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,0156,2,2
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,0156,FI,0
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1226,1,3
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1226,2,0
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1226,FI,0
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1229,1,2
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1229,2,1
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1229,FI,0
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1231,1,2
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1231,2,1
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1231,FI,0
2024_25,0360b2b04bf29fd28b298b0598c2aa0afb2fa0c181aa665d31595a0fdbdcc0e0,3228381273,1232,1,2
