anyo,nombre_cas,codigo,curso
2025,Proyecto intermodular 1 de Gestión de alojamientos turísticos,0181p,3306172484
2025,Tutoría Primero,TU01CF,3306172484
2025,Inglés profesional GS,0179,3306172484
2025,Estructura del mercado turístico,0171,3306172484
2025,Protocolo y relaciones públicas,0172,3306172484
2025,Marketing turístico,0173,3306172484
2025,Dirección de alojamientos turístico,0174,3306172484
2025,Recursos humanos en el alojamiento,0177,3306172484
2025,Sostenibilidad aplicada al sistema productivo,1708190,3306169591
2025,Proyecto intermodular Sistemas microinformáticos y redes,1713707,3306169591
2025,Módulo optativo,CVOPT,3306169591
2025,Digitalización aplicada al sistema productivo GM,1664190,3306169591
2025,Tutoría Segundo,TU02CF,3306169591
2025,Aplicaciones web,0228,3306169591
2025,Seguridad informática,0226,3306169591
2025,Sistemas operativos en red,0224,3306169591
2025,Servicios en red,0227,3306169591
2025,Itinerario personal para la empleabilidad II,1710,3306169591
2025,Itinerario personal para la empleabilidad I,1709,3306169593
2025,Tutoría Primero,TU01CF,3306169593
2025,Redes locales,0225,3306169593
2025,Aplicaciones ofimáticas,0223,3306169593
2025,Montaje y mantenimiento de equipos,0221,3306169593
2025,Sistemas operativos monopuesto,0222,3306169593
2025,Inglés profesional GM,0156,3306169593
2025,Tutoría Primero,TU01CF,3306169607
2025,Inglés Técnico I-M / Horario reservado para la docencia en inglés,CV0001,3306169607
2025,Redes locales,0225,3306169607
2025,Aplicaciones ofimáticas,0223,3306169607
2025,Montaje y mantenimiento de equipos,0221,3306169607
2025,Formación y orientación laboral,0229,3306169607
2025,Sistemas operativos monopuesto,0222,3306169607
2025,Tutoría Segundo,TU02CF,3306169614
2025,Inglés Técnico II-M / Horario reservado para la docencia en inglés,CV0002,3306169614
2025,Empresa e iniciativa emprendedora,0230,3306169614
2025,Aplicaciones web,0228,3306169614
2025,Seguridad informática,0226,3306169614
2025,Sistemas operativos en red,0224,3306169614
2025,Formación en Centros de Trabajo,0231,3306169614
2025,Servicios en red,0227,3306169614
2025,Digitalización aplicada al sistema productivo GS,1665190,3306169635
2025,Sostenibilidad aplicada al sistema productivo,1708190,3306169635
2025,Módulo optativo,CVOPT,3306169635
2025,Proyecto intermodular 2 de Desarrollo de aplicaciones multiplataforma,0492s,3306169635
2025,Tutoría Segundo,TU02CF,3306169635
2025,Sistemas de gestión empresarial,0491,3306169635
2025,Programación de servicios y procesos,0490,3306169635
2025,Programación multimedia y dispositivos móviles,0489,3306169635
2025,Desarrollo de interfaces,0488,3306169635
2025,Acceso a datos,0486,3306169635
2025,Itinerario personal para la empleabilidad II,1710,3306169635
2025,Itinerario personal para la empleabilidad I,1709,3306169637
2025,Proyecto intermodular 1 de Desarrollo de aplicaciones multiplataforma,0492p,3306169637
2025,Tutoría Primero,TU01CF,3306169637
2025,Inglés profesional GS,0179,3306169637
2025,Lenguajes de marcas y sistemas de gestión de información,0373,3306169637
2025,Entornos de desarrollo,0487,3306169637
2025,Programación,0485,3306169637
2025,Bases de Datos,0484,3306169637
2025,Sistemas informáticos,0483,3306169637
2025,Itinerario personal para la empleabilidad I,1709,3306169651
2025,Proyecto intermodular 1 de Desarrollo de aplicaciones WEB,0616p,3306169651
2025,Tutoría Primero,TU01CF,3306169651
2025,Inglés profesional GS,0179,3306169651
2025,Lenguajes de marcas y sistemas de gestión de información,0373,3306169651
2025,Entornos de desarrollo,0487,3306169651
2025,Programación,0485,3306169651
2025,Bases de Datos,0484,3306169651
2025,Sistemas informáticos,0483,3306169651
2025,Digitalización aplicada al sistema productivo GS,1665190,3306169658
2025,Sostenibilidad aplicada al sistema productivo,1708190,3306169658
2025,Módulo optativo,CVOPT,3306169658
2025,Proyecto intermodular 2 de Desarrollo de aplicaciones WEB,0616s,3306169658
2025,Tutoría Segundo,TU02CF,3306169658
2025,Diseño de interfaces WEB,0615,3306169658
2025,Despliegue de aplicaciones WEB,0614,3306169658
2025,Desarrollo WEB en entorno servidor,0613,3306169658
2025,Desarrollo WEB en entorno cliente,0612,3306169658
2025,Itinerario personal para la empleabilidad II,1710,3306169658
2025,Tutoría Segundo,TU02CF,3306169667
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306169667
2025,Formación en centros de trabajo,0619,3306169667
2025,Proyecto de Desarrollo de aplicaciones WEB,0616,3306169667
2025,Empresa e iniciativa emprendedora,0618,3306169667
2025,Diseño de interfaces WEB,0615,3306169667
2025,Despliegue de aplicaciones WEB,0614,3306169667
2025,Desarrollo WEB en entorno servidor,0613,3306169667
2025,Desarrollo WEB en entorno cliente,0612,3306169667
2025,Tutoría Primero,TU01CF,3306169674
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306169674
2025,Lenguajes de marcas y sistemas de gestión de información,0373,3306169674
2025,Entornos de desarrollo,0487,3306169674
2025,Programación,0485,3306169674
2025,Bases de Datos,0484,3306169674
2025,Sistemas informáticos,0483,3306169674
2025,Formación y orientación laboral,0617,3306169674
2025,Tutoría Primero,TU01CF,3306169695
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306169695
2025,Lenguajes de marcas y sistemas de gestión de información,0373,3306169695
2025,Entornos de desarrollo,0487,3306169695
2025,Programación,0485,3306169695
2025,Bases de Datos,0484,3306169695
2025,Sistemas informáticos,0483,3306169695
2025,Formación y orientación laboral,0493,3306169695
2025,Tutoría Segundo,TU02CF,3306169702
2025,Inglés Técnico II-S / Horario reservado para la docencia en inglés,CV0004,3306169702
2025,Formación en centros de trabajo,0495,3306169702
2025,Proyecto de Desarrollo de aplicaciones multiplataforma,0492,3306169702
2025,Empresa e iniciativa emprendedora,0494,3306169702
2025,Sistemas de gestión empresarial,0491,3306169702
2025,Programación de servicios y procesos,0490,3306169702
2025,Programación multimedia y dispositivos móviles,0489,3306169702
2025,Desarrollo de interfaces,0488,3306169702
2025,Acceso a datos,0486,3306169702
2025,Tutoría Primero,TU01CF,3306169723
2025,Inglés Técnico I-S / Horario reservado para la docencia en inglés,CV0003,3306169723
2025,Planificación y Administración de Redes,0370,3306169723
2025,Lenguajes de marcas y sistemas de gestión de información,0373,3306169723
2025,Fundamentos de Hardware,0371,3306169723
2025,Gestión de Bases de Datos,0372,3306169723
2025,Formación y orientación laboral,0380,3306169723
2025,Implantación de Sistemas Operativos,0369,3306169723
2025,Tutoría Segundo,TU02CF,3306169730
