codigo,nombre_cas,curso
0369,Implantación de Sistemas Operativos,3306169744
1665190,Digitalización aplicada al sistema productivo GS,3306169751
1708190,Sostenibilidad aplicada al sistema productivo,3306169751
CVOPT,Módulo optativo,3306169751
0379s,Proyecto intermodular 2 de Administración de Sistemas Informáticos en Red,3306169751
TU02CF,Tutoría Segundo,3306169751
0378,Seguridad y Alta Disponibilidad,3306169751
0375,Servicios de Red e Internet,3306169751
0377,Administración de Sistemas Gestores de Bases de Datos,3306169751
0376,Implantación de Aplicaciones Web,3306169751
0374,Administración de Sistemas Operativos,3306169751
1710,Itinerario personal para la empleabilidad II,3306169751
1713472,Proyecto Intermodular Gestión administrativa,3306173995
CVOPT,Módulo optativo,3306173995
1664001,Digitalización aplicada al sistema productivo GM,3306173995
1708001,Sostenibilidad aplicada al sistema productivo,3306173995
TU02CF,Tutoría Segundo,3306173995
0446,Empresa en el aula,3306173995
0443,Tratamiento de la documentación contable,3306173995
0442,Operaciones administrativas de recursos humanos,3306173995
0448,Operaciones auxiliares de gestión de tesorería,3306173995
1710,Itinerario personal para la empleabilidad II,3306173995
1709,Itinerario personal para la empleabilidad I,3306173997
TU01CF,Tutoría Primero,3306173997
0437,Comunicación empresarial y atención al cliente,3306173997
0441,Técnica contable,3306173997
0439,Empresa y administración,3306173997
0438,Operaciones administrativa de compra-venta,3306173997
0440,Tratamiento informático de la información ,3306173997
0156,Inglés profesional GM,3306173997
TU01CF,Tutoría Primero,3306174011
CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3306174011
0437,Comunicación empresarial y atención al cliente,3306174011
0449,Formación y orientación laboral,3306174011
0441,Técnica contable,3306174011
0439,Empresa y administración,3306174011
0438,Operaciones administrativa de compra-venta,3306174011
0440,Tratamiento informático de la información ,3306174011
0156,Inglés profesional GM,3306174011
TU02CF,Tutoría Segundo,3306174018
CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3306174018
0446,Empresa en el aula,3306174018
0443,Tratamiento de la documentación contable,3306174018
0442,Operaciones administrativas de recursos humanos,3306174018
0451,Formación en centros de trabajo,3306174018
0448,Operaciones auxiliares de gestión de tesorería,3306174018
CVOPT,Módulo optativo,3306174046
0657s,Proyecto intermodular 2 de administración y finanzas,3306174046
1665001,Digitalización aplicada al sistema productivo GS,3306174046
1708001,Sostenibilidad aplicada al sistema productivo,3306174046
TU02CF,Tutoría Segundo,3306174046
0655,Gestión logística y comercial,3306174046
0652,Gestión de recursos humanos,3306174046
0653,Gestión financiera,3306174046
0656,Simulación empresarial,3306174046
0654,Contabilidad y fiscalidad,3306174046
1710,Itinerario personal para la empleabilidad II,3306174046
1709,Itinerario personal para la empleabilidad I,3306174048
0657p,Proyecto intermodular 1 de Administración y Finanzas,3306174048
TU01CF,Tutoría Primero,3306174048
0179,Inglés profesional GS,3306174048
0651,Comunicación y atención al cliente,3306174048
0650,Proceso integral de la actividad comercial,3306174048
0648,Recursos humanos y responsabilidad social corporativa,3306174048
0649,Ofimática y proceso de la información,3306174048
0647,Gestión de la documentación jurídica y empresarial,3306174048
TU02CF,Tutoría Segundo,3306174099
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306174099
0655,Gestión logística y comercial,3306174099
0657,Proyecto de administración y Finanzas,3306174099
0652,Gestión de recursos humanos,3306174099
0653,Gestión financiera,3306174099
0656,Simulación empresarial,3306174099
0660,Formación en Centros de Trabajo,3306174099
0654,Contabilidad y fiscalidad,3306174099
TU01CF,Tutoría Primero,3306174106
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306174106
0179,Inglés profesional GS,3306174106
0651,Comunicación y atención al cliente,3306174106
0658,Formación y orientación laboral,3306174106
0650,Proceso integral de la actividad comercial,3306174106
0648,Recursos humanos y responsabilidad social corporativa,3306174106
0649,Ofimática y proceso de la información,3306174106
0647,Gestión de la documentación jurídica y empresarial,3306174106
TU01CF,Tutoría Primero,3306170521
028502,Técnicas básicas de enfermería,3306170521
028504,Promoción de la salud y apoyo psicológico al paciente,3306170521
028505,Técnicas de ayuda odontológica/estomatológica,3306170521
028001,Formación y orientación laboral,3306170521
028503,Higiene del medio hospitalario y limpieza de material,3306170521
028501,Operaciones administrativas y documentación sanitaria,3306170521
028100,Relaciones en el equipo de trabajo,3306170521
TU02CF,Tutoría Segundo,3306170528
028601,Formación en Centros de Trabajo,3306170528
5123,Estrategia de contenidos digitales,3306171967
5114,Comunicación en redes sociales,3306171967
5124,Redacción de contenidos digitales,3306171967
1708039,Sostenibilidad aplicada al sistema productivo,3306172330
CVOPT,Módulo optativo,3306172330
0400s,Proyecto intermodular 2 de Agencias de viajes,3306172330
1665039,Digitalización aplicada al sistema productivo GS,3306172330
TU02CF,Tutoría Segundo,3306172330
0398,Venta de servicios turísticos,3306172330
0180,Segunda lengua extranjera,3306172330
0399,Dirección de entidades de intermedi,3306172330
0397,Gestión de productos turísticos,3306172330
1710,Itinerario personal para la empleabilidad II,3306172330
1709,Itinerario personal para la empleabilidad I,3306172332
0400p,Proyecto intermodular 1 de Agencias de viajes,3306172332
TU01CF,Tutoría Primero,3306172332
0179,Inglés profesional GS,3306172332
0171,Estructura del mercado turístico,3306172332
0383,Destinos turísticos ,3306172332
0384,Recursos turísticos ,3306172332
0172,Protocolo y relaciones públicas,3306172332
0173,Marketing turístico,3306172332
1665061,Digitalización aplicada al sistema productivo GS,3306170617
1708061,Sostenibilidad aplicada al sistema productivo,3306170617
CVOPT,Módulo optativo,3306170617
1375s,Proyecto intermodular 2 de Laboratorio clínico y biomédico,3306170617
TU02CF,Tutoría Segundo,3306170617
1371,Análisis bioquímico,3306170617
1372,Técnicas de inmunodiagnóstico,3306170617
1373,Microbiología clínica,3306170617
1374,Técnicas de análisis hematológico,3306170617
1710,Itinerario personal para la empleabilidad II,3306170617
1709,Itinerario personal para la empleabilidad I,3306170619
1375p,Proyecto intermodular 1 de Laboratorio clínico y biomédico,3306170619
TU01CF,Tutoría Primero,3306170619
0179,Inglés profesional GS,3306170619
1370,Fisiopatología general,3306170619
1367,Gestión de muestras biológicas,3306170619
1368,Técnicas generales de laboratorio,3306170619
1369,Biología molecular y citogenética,3306170619
1709,Itinerario personal para la empleabilidad I,3306172053
TU01CF,Tutoría Primero,3306172053
0156,Inglés profesional GM,3306172053
1226,Marketing en la actividad comercial,3306172053
1229,Gestión de compras,3306172053
1231,Dinamización del punto de venta,3306172053
1232,Procesos de venta,3306172053
1233,Aplicaciones informáticas para el comercio,3306172053
1713925,Proyecto Intermodular Actividades comerciales,3306172060
CVOPT,Módulo optativo,3306172060
1664020,Digitalización aplicada al sistema productivo GM,3306172060
1708020,Sostenibilidad aplicada al sistema productivo,3306172060
TU02CF,Tutoría Segundo,3306172060
1227,Gestión de un pequeño comercio,3306172060
1228,Técnicas de almacén,3306172060
1230,Venta técnica,3306172060
1234,Servicios de atención comercial,3306172060
1235,Comercio electrónico,3306172060
1710,Itinerario personal para la empleabilidad II,3306172060
TU01CF,Tutoría Primero,3306172366
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306172366
0179,Inglés profesional GS,3306172366
0171,Estructura del mercado turístico,3306172366
0172,Protocolo y relaciones públicas,3306172366
0173,Marketing turístico,3306172366
0174,Dirección de alojamientos turístico,3306172366
0182,Formación y orientación laboral,3306172366
0177,Recursos humanos en el alojamiento,3306172366
TU02CF,Tutoría Segundo,3306172373
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306172373
0180,Segunda lengua extranjera,3306172373
0181,Proyecto de Gestión de alojamientos turísticos,3306172373
0184,Formación en Centros de Trabajo,3306172373
0183,Empresa e iniciativa emprendedora ,3306172373
0176,Recepción y reservas,3306172373
0178,Comercialización de eventos,3306172373
0175,Gestión del departamento de pisos,3306172373
1709,Itinerario personal para la empleabilidad I,3306172403
0388p,"Proyecto intermodular 1 de Guía, información y asistencia turísticas",3306172403
TU01CF,Tutoría Primero,3306172403
0179,Inglés profesional GS,3306172403
0171,Estructura del mercado turístico,3306172403
0383,Destinos turísticos ,3306172403
0384,Recursos turísticos ,3306172403
0172,Protocolo y relaciones públicas,3306172403
0173,Marketing turístico,3306172403
1708039,Sostenibilidad aplicada al sistema productivo,3306172410
CVOPT,Módulo optativo,3306172410
0388s,"Proyecto intermodular 2 de Guía, información y asistencia turísticas",3306172410
1665039,Digitalización aplicada al sistema productivo GS,3306172410
TU02CF,Tutoría Segundo,3306172410
0180,Segunda lengua extranjera,3306172410
0385,Servicios de información turística,3306172410
0387,Diseño de productos turísticos,3306172410
0386,Procesos de guía y asistencia ,3306172410
1710,Itinerario personal para la empleabilidad II,3306172410
TU01CF,Tutoría Primero,3306169433
243265,Diseño y Fabr. Monturas Ópticas,3306169433
243267,"Anat., Fisiopatol. y Ametropias Oculares",3306169433
243266,At. Cliente Establ. Prod. Ópticos,3306169433
243264,Proc. Fabr. Lentes Oftalmológicas,3306169433
TU02CF,Tutoría Segundo,3306169440
243602,Formación y Orientación Laboral,3306169440
243601,Formación en Centros de Trabajo,3306169440
243604,"Adm., Gest. y Comer. Peq. Empresa",3306169440
243271,Montajes y Reparaciones Ópticas,3306169440
243270,Proc. Fabr. Lentes de Contacto,3306169440
TU01CF,Tutoría Primero,3306170712
CV0003,Inglés Técnico I-S / Horario reservado para la docencia en inglés,3306170712
1370,Fisiopatología general,3306170712
1367,Gestión de muestras biológicas,3306170712
1368,Técnicas generales de laboratorio,3306170712
1369,Biología molecular y citogenética,3306170712
1376,Formación y orientación laboral,3306170712
TU02CF,Tutoría Segundo,3306170719
CV0004,Inglés Técnico II-S / Horario reservado para la docencia en inglés,3306170719
1375,Proyecto de Laboratorio clínico y biomédico,3306170719
1378,Formación en centros de trabajo,3306170719
1371,Análisis bioquímico,3306170719
1372,Técnicas de inmunodiagnóstico,3306170719
1373,Microbiología clínica,3306170719
1374,Técnicas de análisis hematológico,3306170719
1377,Empresa e iniciativa emprendedora,3306170719
TU01CF,Tutoría Primero,3306172105
CV0001,Inglés Técnico I-M / Horario reservado para la docencia en inglés,3306172105
0156,Inglés profesional GM,3306172105
1226,Marketing en la actividad comercial,3306172105
1229,Gestión de compras,3306172105
1231,Dinamización del punto de venta,3306172105
1232,Procesos de venta,3306172105
1233,Aplicaciones informáticas para el comercio,3306172105
1236,Formación y orientación laboral,3306172105
TU02CF,Tutoría Segundo,3306172112
CV0002,Inglés Técnico II-M / Horario reservado para la docencia en inglés,3306172112
1227,Gestión de un pequeño comercio,3306172112
1228,Técnicas de almacén,3306172112
1230,Venta técnica,3306172112
1234,Servicios de atención comercial,3306172112
1235,Comercio electrónico,3306172112
1237,Formación en centros de trabajo,3306172112
CVOPT,Módulo optativo,3306172133
0828s,Proyecto intermodular 2 de comercio internacional,3306172133
1665020,Digitalización aplicada al sistema productivo GS,3306172133
1708020,Sostenibilidad aplicada al sistema productivo,3306172133
TU02CF,Tutoría Segundo,3306172133
0825,Financiación internacional,3306172133
0823,Marketing internacional,3306172133
0827,Comercio digital internacional,3306172133
